fips,hpsa_score,hpsa_score_norm,shortage_flag
19065,3.77,0.15,0
19067,15.0,0.6,1
19069,6.0,0.24,0
19071,3.04,0.12,0
19073,10.27,0.41,0
19075,6.35,0.25,0
19077,6.04,0.24,0
19079,5.07,0.2,0
19081,1.11,0.04,0
19083,3.67,0.15,0
19085,1.78,0.07,0
19087,11.7,0.47,0
19089,1.15,0.05,0
19091,1.82,0.07,0
19093,9.4,0.38,0
19095,0.0,0.0,0
19097,2.33,0.09,0
19099,7.5,0.3,0
19101,6.3,0.25,0
19103,8.72,0.35,0
19105,1.91,0.08,0
19107,1.85,0.07,0
19109,0.44,0.02,0
19111,4.39,0.18,0
19113,0.52,0.02,0
19115,4.87,0.19,0
19117,2.74,0.11,0
19119,0.18,0.01,0
19121,0.68,0.03,0
19123,16.0,0.64,1
19125,0.0,0.0,0
19127,16.0,0.64,1
19129,0.0,0.0,0
19131,11.67,0.47,0
19133,2.33,0.09,0
19135,0.0,0.0,0
19137,15.0,0.6,1
19139,3.2,0.13,0
19141,10.33,0.41,0
19143,8.0,0.32,0
19145,6.8,0.27,0
19147,9.17,0.37,0
19149,9.38,0.38,0
19151,8.75,0.35,0
19153,13.36,0.53,0
19155,8.89,0.36,0
19157,6.0,0.24,0
19159,5.5,0.22,0
19161,2.67,0.11,0
19163,9.09,0.36,0
19165,4.12,0.16,0
19167,5.89,0.24,0
19169,5.67,0.23,0
19171,14.33,0.57,0
19173,4.0,0.16,0
19175,1.0,0.04,0
19177,6.79,0.27,0
19179,16.0,0.64,1
19181,0.0,0.0,0
19183,12.8,0.51,0
19185,1.79,0.07,0
19187,7.06,0.28,0
19189,15.0,0.6,1
19191,0.0,0.0,0
19193,3.15,0.13,0
19195,0.0,0.0,0
19197,14.8,0.59,0
20001,13.0,0.52,0
20003,12.67,0.51,0
20005,8.5,0.34,0
20007,12.33,0.49,0
20009,12.0,0.48,0
20011,15.0,0.6,1
20013,7.0,0.28,0
20015,11.75,0.47,0
20017,13.0,0.52,0
20019,16.0,0.64,1
20021,16.0,0.64,1
20023,14.25,0.57,0
20025,5.67,0.23,0
20027,9.25,0.37,0
20029,13.5,0.54,0
20031,1.57,0.06,0
20033,14.0,0.56,0
20035,13.57,0.54,0
20037,19.5,0.78,1
20039,14.0,0.56,0
20041,1.45,0.06,0
20043,14.0,0.56,0
20045,15.75,0.63,1
20047,6.33,0.25,0
20049,15.0,0.6,1
20051,9.33,0.37,0
20053,8.5,0.34,0
20055,16.5,0.66,1
20057,13.0,0.52,0
20059,7.67,0.31,0
20061,16.0,0.64,1
20063,6.75,0.27,0
20065,11.5,0.46,0
20067,11.67,0.47,0
20069,13.0,0.52,0
20071,10.67,0.43,0
20073,7.5,0.3,0
20075,10.0,0.4,0
20077,14.67,0.59,0
20079,8.0,0.32,0
20081,13.5,0.54,0
20083,13.0,0.52,0
20085,10.89,0.44,0
20087,8.0,0.32,0
20089,14.0,0.56,0
20091,18.0,0.72,1
20093,8.75,0.35,0
20095,2.82,0.11,0
20097,11.0,0.44,0
20099,14.86,0.59,0
20101,13.0,0.52,0
20103,4.0,0.16,0
20105,9.5,0.38,0
20107,11.0,0.44,0
20109,2.2,0.09,0
20111,3.27,0.13,0
20113,0.0,0.0,0
20115,0.39,0.02,0
20117,6.0,0.24,0
20119,10.0,0.4,0
20121,10.25,0.41,0
20123,8.5,0.34,0
20125,13.8,0.55,0
20127,5.0,0.2,0
20129,13.67,0.55,0
20131,3.43,0.14,0
20133,11.56,0.46,0
20135,11.0,0.44,0
20137,12.5,0.5,0
20139,12.0,0.48,0
20141,11.33,0.45,0
20143,7.0,0.28,0
20145,9.67,0.39,0
20147,11.25,0.45,0
20149,9.67,0.39,0
20151,14.5,0.58,0
20153,9.0,0.36,0
20155,3.08,0.12,0
20157,9.33,0.37,0
20159,8.0,0.32,0
20161,15.0,0.6,1
20163,8.5,0.34,0
20165,10.67,0.43,0
20167,12.25,0.49,0
20169,1.41,0.06,0
20171,9.5,0.38,0
20173,6.59,0.26,0
20175,13.0,0.52,0
20177,2.12,0.08,0
20179,7.2,0.29,0
20181,14.67,0.59,0
20183,9.5,0.38,0
20185,7.0,0.28,0
20187,11.0,0.44,0
20189,13.0,0.52,0
20191,2.67,0.11,0
20193,3.0,0.12,0
20195,8.0,0.32,0
20197,11.0,0.44,0
20199,11.8,0.47,0
20201,8.33,0.33,0
20203,10.25,0.41,0
20205,8.25,0.33,0
20207,0.69,0.03,0
20209,7.67,0.31,0
21001,14.67,0.59,0
21003,15.2,0.61,1
21005,10.33,0.41,0
21007,10.67,0.43,0
21009,14.0,0.56,0
21011,12.0,0.48,0
21013,14.17,0.57,0
21017,9.67,0.39,0
21019,1.88,0.08,0
21021,11.5,0.46,0
21023,10.0,0.4,0
21025,7.75,0.31,0
21027,13.33,0.53,0
21029,14.64,0.59,0
21031,10.5,0.42,0
21033,13.25,0.53,0
21035,17.0,0.68,1
21037,11.55,0.46,0
21039,9.5,0.38,0
21041,9.67,0.39,0
21043,14.67,0.59,0
21045,15.5,0.62,1
21047,16.0,0.64,1
21049,10.75,0.43,0
21051,10.12,0.4,0
21053,8.4,0.34,0
21055,14.25,0.57,0
21057,12.4,0.5,0
21059,11.0,0.44,0
21061,12.71,0.51,0
21063,13.29,0.53,0
21065,15.43,0.62,1
21067,5.79,0.23,0
21069,9.33,0.37,0
21071,10.44,0.42,0
21073,17.5,0.7,1
21075,15.67,0.63,1
21077,16.67,0.67,1
21079,12.11,0.48,0
21081,8.0,0.32,0
21083,13.33,0.53,0
21085,5.67,0.23,0
21087,12.33,0.49,0
21089,5.67,0.23,0
21091,15.75,0.63,1
21093,12.31,0.49,0
21095,11.24,0.45,0
21097,16.0,0.64,1
21099,12.9,0.52,0
21101,20.0,0.8,1
21103,14.4,0.58,0
21105,9.0,0.36,0
21107,10.33,0.41,0
21109,18.0,0.72,1
21111,15.31,0.61,1
21113,0.0,0.0,0
21115,9.67,0.39,0
21119,7.0,0.28,0
21121,16.1,0.64,1
21123,9.5,0.38,0
21125,15.58,0.62,1
21127,13.75,0.55,0
21129,15.78,0.63,1
21131,14.75,0.59,0
21133,8.0,0.32,0
21135,6.71,0.27,0
21137,8.57,0.34,0
21139,13.17,0.53,0
21141,8.0,0.32,0
21143,10.0,0.4,0
21145,13.38,0.54,0
21147,17.3,0.69,1
21149,17.67,0.71,1
21151,13.23,0.53,0
21153,17.0,0.68,1
21155,16.5,0.66,1
21157,13.33,0.53,0
