fips,diabetes,inactivity,mental_health,obesity,smoking
08041,8.55,18.85,17.85,28.4,10.8
08043,10.35,22.25,17.6,30.5,15.55
08045,8.5,18.45,16.45,23.9,12.1
08047,8.45,15.6,15.5,24.8,11.05
08049,8.15,16.2,16.25,24.05,11.7
08051,7.1,14.45,16.0,24.25,9.9
08053,8.2,13.95,14.15,23.7,8.85
08055,11.65,22.4,16.25,27.7,13.25
08057,11.85,24.1,17.95,29.75,16.85
08059,7.75,13.05,15.15,23.0,9.9
08061,10.05,20.45,17.75,27.35,14.25
08063,10.25,22.2,18.15,29.55,14.7
08065,8.1,16.95,15.25,23.8,10.2
08067,8.4,15.7,16.25,20.85,11.8
08069,7.1,13.9,16.75,23.95,9.9
08071,12.05,25.05,17.05,32.7,14.0
08073,10.1,22.85,17.7,29.85,15.6
08075,10.5,23.1,18.55,30.0,16.35
08077,8.95,19.5,17.25,29.95,12.95
08079,8.9,15.75,15.0,25.4,10.55
08081,10.0,21.7,18.45,28.4,15.6
08083,10.35,21.2,17.7,28.45,14.95
08085,10.0,20.7,16.8,27.6,13.7
08087,10.4,23.0,17.75,32.2,13.9
08089,13.1,26.9,18.4,34.85,15.65
08091,8.3,14.4,14.3,23.05,9.2
08093,8.7,15.3,15.5,23.0,11.1
08095,10.75,23.25,17.65,29.15,14.55
08097,7.45,13.15,14.0,20.5,8.3
08099,11.7,25.95,18.15,29.5,15.3
08101,11.35,26.25,17.85,32.2,14.05
08103,8.8,18.45,17.55,26.7,13.2
08105,10.9,22.55,16.4,27.8,12.65
08107,7.55,14.9,15.35,23.35,10.1
08109,12.9,24.8,16.95,28.95,14.7
08111,9.0,16.65,15.25,26.1,11.1
08113,7.9,14.55,14.8,25.8,9.6
08115,11.0,21.8,17.15,28.25,14.05
08117,7.55,15.15,15.45,24.05,10.3
08119,8.65,16.2,15.6,23.75,11.3
08121,9.35,19.4,17.35,26.5,13.6
08123,9.4,20.6,17.2,33.7,12.65
08125,10.05,22.2,17.5,28.55,14.05
09110,10.1,24.3,16.95,32.15,11.1
09120,9.75,27.45,16.05,28.25,10.9
09130,8.35,20.75,15.45,29.4,9.8
09140,9.7,26.05,16.85,31.6,11.85
09150,9.15,24.85,17.85,32.85,12.85
09160,8.95,22.65,16.4,28.7,11.2
09170,9.8,26.25,16.45,33.65,11.05
09180,9.4,26.1,17.1,32.8,11.25
09190,7.95,21.75,14.4,25.15,8.6
10001,13.35,31.15,18.2,43.7,13.75
10003,11.45,25.15,15.9,33.4,11.7
10005,12.0,26.55,15.15,34.0,14.3
11001,8.15,15.1,13.9,24.9,9.45
12001,10.85,21.5,18.0,32.15,11.95
12003,11.65,27.35,19.35,35.2,16.6
12005,10.95,24.75,18.3,33.3,14.65
12007,13.4,31.35,20.4,34.95,19.45
12009,11.55,22.85,16.9,34.1,12.75
12011,12.45,25.8,16.25,30.5,11.8
12013,14.0,31.9,20.25,39.95,20.35
12015,12.7,23.45,16.4,31.1,13.5
